a1,a2,a3,b1,b2,b3,c1,c2,c3,rslt
1,0,0,0,0,1,1,1,0,2
1,0,0,1,-1,1,1,0,0,1
1,0,0,1,1,0,0,1,0,0
0,1,0,0,1,1,1,0,0,2
-1,1,0,1,1,0,0,-1,0,0
1,1,0,1,0,0,0,0,1,0
0,-1,1,0,1,-1,1,0,-1,1
1,0,1,1,1,0,0,0,0,0
0,-1,1,-1,1,0,1,0,-1,1
1,-1,-1,0,1,-1,0,0,1,1
0,-1,-1,1,0,1,-1,-1,0,0
0,0,-1,1,1,1,-1,-1,0,1
1,1,0,0,0,1,1,0,0,2
0,-1,-1,-1,0,1,1,-1,0,0
0,0,-1,1,1,1,0,1,0,1
0,0,0,0,1,1,0,1,1,0
-1,0,1,0,1,1,0,0,1,1
1,1,-1,0,0,0,1,0,-1,0
-1,0,0,1,0,1,-1,0,1,0
-1,-1,-1,-1,1,1,0,0,0,0
0,0,0,1,-1,-1,0,1,1,0
0,0,0,0,1,1,0,1,1,0
0,1,0,1,0,0,0,1,1,0
1,0,-1,-1,1,1,0,0,0,0
1,-1,0,1,1,0,-1,0,0,0
0,0,1,1,1,0,0,0,1,2
0,0,1,1,0,1,0,-1,1,1
0,1,-1,-1,0,-1,-1,1,0,0
1,0,0,1,1,0,0,1,0,0
0,0,0,1,0,1,1,-1,-1,0
0,-1,-1,1,0,-1,1,-1,0,0
1,1,1,-1,0,0,0,0,1,1
1,0,1,0,1,0,1,0,-1,1
1,0,0,0,0,1,0,1,1,0
1,0,1,0,0,1,1,0,0,0
1,0,1,1,1,0,0,0,0,0
0,0,1,1,1,0,0,0,1,2
-1,-1,1,0,0,0,1,0,1,0
0,1,0,1,0,1,-1,-1,0,0
0,1,-1,0,1,-1,0,0,1,0
1,1,1,0,-1,0,1,0,0,1
0,1,0,1,1,0,0,0,1,2
1,0,1,0,0,0,1,1,0,0
0,1,1,0,0,0,0,1,1,0
-1,-1,1,0,1,-1,1,0,0,1
1,-1,-1,1,0,-1,1,0,0,1
0,0,1,1,0,0,0,1,1,2
0,1,0,1,0,0,1,0,1,2
0,0,1,1,0,0,1,0,1,0
1,1,1,1,0,0,0,-1,0,1
1,0,0,0,1,1,1,0,0,2
0,-1,1,0,1,-1,0,0,1,0
1,0,1,1,0,0,0,0,1,0
1,0,0,1,-1,1,1,0,0,1
1,1,1,0,0,1,-1,0,0,1
1,0,0,0,1,0,-1,1,1,1
1,0,1,1,1,0,0,0,0,0
0,0,-1,0,1,0,1,1,1,1
1,0,1,1,0,0,0,1,0,2
0,1,0,0,0,1,1,0,1,2
0,1,0,0,1,-1,1,1,0,1
0,0,1,1,0,1,0,1,0,0
1,0,0,-1,0,0,1,1,1,1
0,1,0,1,1,0,0,0,1,2
0,-1,1,1,0,1,0,0,1,1
1,1,1,0,0,1,0,0,-1,1
0,1,0,0,0,1,1,0,1,2
-1,0,1,1,0,1,0,0,-1,0
0,-1,0,1,1,1,1,0,0,1
-1,0,-1,-1,0,1,1,0,-1,0
1,1,1,0,-1,0,0,0,1,1
1,0,0,0,1,0,1,1,0,0
0,1,0,-1,0,-1,0,1,1,0
-1,0,1,0,1,1,1,0,0,1
0,1,0,0,1,1,1,0,0,2
0,-1,-1,0,1,1,0,0,1,0
1,1,1,-1,0,-1,0,0,-1,1
1,0,0,1,0,-1,1,1,0,1
0,0,1,0,1,1,0,1,0,0
0,1,1,0,1,0,0,0,1,0
-1,1,0,-1,0,1,0,1,0,0
0,1,0,1,1,1,-1,0,0,1
0,0,1,0,1,1,0,1,0,0
1,1,0,0,1,1,0,0,0,0
1,1,-1,1,0,0,1,0,0,1
1,0,0,0,0,1,0,1,1,0
-1,-1,1,0,0,1,0,-1,1,1
1,-1,0,-1,0,-1,0,1,-1,0
0,1,1,0,0,1,-1,0,1,1
0,1,0,-1,0,1,1,-1,0,0
0,1,0,1,0,1,1,0,0,0
0,1,1,0,0,0,1,0,1,0
0,1,1,1,0,0,0,1,0,0
0,1,0,0,0,1,1,0,1,2
1,0,-1,-1,0,1,1,0,0,0
1,0,1,0,0,0,1,1,0,0
-1,0,1,0,0,0,-1,1,1,0
1,1,1,0,0,-1,0,1,0,1
0,0,1,0,1,0,1,-1,1,1
0,1,1,1,0,0,0,1,0,0
0,1,0,-1,1,0,0,1,1,1
0,0,0,-1,-1,-1,-1,1,1,0
1,1,0,0,0,0,1,0,1,0
0,0,1,-1,0,1,0,1,1,1
0,1,0,1,1,0,0,0,1,2
0,0,1,-1,1,0,1,-1,-1,1
0,0,1,1,1,0,0,0,1,2
1,1,1,0,-1,0,0,0,1,1
1,0,0,1,-1,0,1,-1,-1,1
1,1,1,0,1,0,-1,0,0,1
1,0,0,-1,1,1,0,0,1,1
-1,0,0,1,1,1,-1,0,-1,1
1,0,0,1,-1,0,1,0,1,1
1,0,0,-1,1,0,1,0,1,1
0,1,0,-1,1,1,0,1,0,1
1,0,1,1,0,0,0,1,0,2
1,0,1,0,0,1,0,1,0,2
1,0,0,1,-1,-1,1,0,-1,1
-1,-1,1,0,1,0,1,0,-1,1
1,0,0,0,1,1,0,-1,1,1
0,1,0,0,0,1,1,0,1,2
0,-1,-1,1,1,1,0,0,-1,1
1,1,0,0,0,1,1,0,0,2
1,0,0,0,0,1,1,1,0,2
-1,0,0,1,1,1,0,1,0,1
1,0,1,0,0,1,0,1,0,2
1,1,1,0,0,1,0,0,-1,1
1,0,-1,1,1,0,1,0,0,1
0,1,-1,0,1,0,1,1,0,1
0,1,0,0,1,1,-1,1,0,1
1,0,-1,0,1,-1,-1,0,1,1
1,0,0,1,1,1,0,0,-1,1
1,1,1,1,0,0,-1,0,0,1
1,1,1,0,-1,0,0,1,0,1
0,0,1,1,1,0,0,0,1,2
0,1,0,0,0,1,1,0,1,2
1,0,-1,-1,1,0,0,-1,1,1
1,0,0,-1,0,0,1,1,1,1
0,0,1,1,1,0,1,0,-1,1
-1,1,-1,0,1,0,0,1,-1,1
0,0,1,1,1,-1,1,0,0,1
1,0,-1,1,-1,-1,1,0,0,1
0,0,1,-1,0,0,1,1,1,1
1,1,1,0,0,-1,1,0,0,1
1,0,-1,1,-1,0,1,0,-1,1
1,1,0,0,1,-1,0,0,1,1
1,1,1,1,0,0,-1,0,0,1
0,-1,0,1,1,1,0,-1,-1,1
1,0,-1,1,0,0,1,-1,-1,1
0,0,1,0,1,-1,1,0,1,1
1,0,0,1,0,0,1,1,-1,1
1,1,1,0,0,1,-1,0,0,1
0,1,0,0,1,1,1,0,0,2
1,1,1,1,0,0,0,0,-1,1
1,0,-1,-1,1,-1,0,0,1,1
0,1,1,1,0,0,0,0,1,2
-1,1,1,0,1,0,0,1,0,1
1,0,1,1,0,0,0,1,0,2
1,0,-1,-1,1,0,0,-1,1,1
1,1,1,1,0,0,0,0,-1,1
-1,0,0,0,0,1,1,1,1,1
0,1,0,0,1,0,1,0,1,2
0,0,1,1,1,0,0,0,1,2
0,0,1,1,1,0,0,1,0,2
1,-1,0,1,-1,-1,1,0,0,1
0,1,0,-1,1,-1,0,1,-1,1
1,1,1,1,0,0,-1,0,0,1
0,1,1,0,1,0,-1,1,0,1
1,0,1,1,0,0,0,1,0,2
0,0,1,0,-1,0,1,1,1,1
0,0,1,1,0,0,0,1,1,2
1,1,1,0,1,0,-1,0,0,1
0,1,0,1,0,0,1,0,1,2
0,1,-1,0,1,0,-1,1,-1,1
0,0,1,1,0,1,0,-1,1,1
0,0,-1,0,1,0,1,1,1,1
0,0,1,1,-1,1,0,0,1,1
1,1,0,0,0,1,1,0,0,2
1,-1,0,0,1,0,-1,-1,1,1
-1,1,0,0,1,1,0,1,0,1
1,0,1,0,0,1,0,1,0,2
1,0,0,1,1,1,0,0,-1,1
0,1,1,-1,0,1,0,0,1,1
0,1,1,0,0,1,-1,0,1,1
0,0,1,0,0,1,1,-1,1,1
0,0,1,0,1,0,1,1,-1,1
0,-1,-1,1,1,1,0,0,-1,1
1,0,0,1,0,-1,1,1,0,1
0,0,1,1,1,0,1,0,-1,1
1,-1,-1,1,0,-1,1,0,0,1
0,0,1,0,1,-1,1,1,0,1
1,1,1,-1,0,0,1,0,0,1
1,-1,0,1,0,-1,1,0,-1,1
1,1,1,1,0,0,-1,0,0,1
1,1,0,0,1,0,0,-1,1,1
1,0,-1,1,1,0,0,0,1,1
1,0,1,0,1,0,0,1,0,2
-1,-1,1,0,1,-1,1,0,0,1
0,0,1,1,1,0,0,0,1,2
0,0,-1,1,0,0,1,1,1,1
0,1,1,1,0,0,0,0,1,2
1,1,1,0,0,-1,0,0,1,1
0,1,1,0,1,0,-1,1,0,1
0,0,1,0,-1,1,1,0,1,1
0,0,1,1,0,0,0,1,1,2
1,0,1,1,0,0,0,1,0,2
0,0,1,1,1,0,0,0,1,2
0,0,1,1,0,0,0,1,1,2
-1,1,-1,0,1,0,0,1,-1,1
1,1,1,-1,0,-1,-1,0,0,1
1,1,1,0,-1,0,0,1,0,1
0,0,1,1,1,-1,1,0,0,1
0,1,0,0,1,0,1,0,1,2
-1,0,0,1,0,0,1,1,1,1
1,0,0,0,1,1,0,1,0,2
1,-1,0,-1,1,0,0,-1,1,1
1,0,0,0,0,1,1,1,0,2
1,0,0,1,1,0,-1,0,1,1
0,0,1,1,1,0,0,1,0,2
1,0,0,0,1,1,1,0,0,2
0,1,0,-1,1,0,0,1,1,1
0,1,1,1,0,0,0,0,1,2
1,-1,1,1,0,0,1,0,0,1
0,1,0,0,1,1,1,0,0,2
0,0,1,-1,1,1,1,0,0,1
0,1,0,1,0,0,1,0,1,2
0,0,1,1,1,0,0,1,0,2
1,1,0,0,1,-1,0,0,1,1
0,0,-1,1,0,0,1,1,1,1
0,0,1,1,0,0,0,1,1,2
0,0,1,0,-1,0,1,1,1,1
-1,0,1,1,1,0,1,0,0,1
0,0,1,1,0,0,0,1,1,2
1,0,0,0,1,1,0,1,0,2
1,0,1,-1,1,0,1,0,0,1
1,1,0,0,1,0,-1,0,1,1
1,0,0,0,1,1,1,0,0,2
-1,0,1,0,1,-1,1,0,-1,1
1,1,1,0,1,0,0,0,-1,1
1,0,0,0,1,0,1,-1,1,1
0,0,1,0,1,-1,1,0,1,1
1,0,1,0,1,-1,1,0,0,1
0,-1,-1,1,1,1,-1,0,0,1
0,1,0,0,1,-1,1,1,0,1
-1,1,1,0,0,1,0,0,1,1
-1,1,0,0,1,1,0,1,0,1
0,1,-1,0,1,-1,-1,1,0,1
0,1,1,0,1,0,1,-1,0,1
1,0,0,0,1,1,0,1,0,2
1,0,-1,1,1,0,0,0,1,1
-1,-1,0,0,0,-1,1,1,1,1
1,1,0,0,1,-1,0,1,0,1
1,1,1,0,0,-1,1,0,0,1
0,-1,0,1,1,1,0,-1,-1,1
0,1,0,0,1,0,1,0,1,2
0,1,0,0,1,0,1,0,1,2
0,1,0,0,1,0,1,0,1,2
0,1,0,0,1,0,1,0,1,2
0,1,1,0,0,1,-1,0,1,1
1,1,0,0,0,1,1,0,0,2
1,0,1,0,0,1,0,1,0,2
0,1,0,1,1,1,0,0,-1,1
1,1,1,1,0,0,0,0,-1,1
1,0,0,0,1,1,0,1,0,2
1,1,1,-1,0,0,-1,0,-1,1
0,1,1,0,1,0,1,0,-1,1
1,0,1,1,0,0,0,1,0,2
-1,1,1,0,1,0,1,0,0,1
0,1,1,0,1,-1,1,0,0,1
1,0,1,0,1,0,1,0,-1,1
1,0,1,0,1,-1,1,0,0,1
0,0,1,0,0,1,-1,1,1,1
1,0,1,0,0,1,0,-1,1,1
1,0,1,0,1,0,0,1,0,2
1,0,1,1,0,0,0,1,0,2
0,1,0,0,0,1,1,0,1,2
0,-1,0,-1,-1,0,1,1,1,1
0,1,0,0,1,1,1,0,0,2
-1,-1,1,0,0,1,0,-1,1,1
1,0,-1,1,1,0,1,0,0,1
-1,1,1,0,1,0,1,0,0,1
0,0,-1,1,1,1,-1,-1,0,1
1,1,1,0,-1,0,0,1,0,1
0,0,1,1,1,1,0,-1,0,1
0,0,1,1,1,0,1,0,-1,1
0,1,0,0,1,0,1,0,1,2
1,-1,0,0,1,-1,0,-1,1,1
1,0,1,0,0,1,0,1,0,2
0,0,1,1,1,0,0,1,0,2
1,0,1,0,0,1,0,1,0,2
0,1,0,0,1,0,1,0,1,2
1,1,0,0,0,1,1,0,0,2
0,1,0,0,0,1,1,0,1,2
0,1,1,1,0,0,0,0,1,2
0,1,0,1,1,0,0,0,1,2
0,0,1,1,1,0,0,0,1,2
0,1,0,1,0,0,1,0,1,2
0,0,1,1,1,0,0,0,1,2
1,0,1,0,0,1,0,1,0,2
1,0,1,0,1,0,0,1,0,2
0,1,0,0,1,0,1,0,1,2
1,0,0,0,1,1,1,0,0,2
0,0,1,1,0,0,0,1,1,2
0,1,1,1,0,0,0,0,1,2
1,0,1,0,1,0,0,1,0,2
1,0,0,0,1,1,0,1,0,2
0,1,0,0,1,1,1,0,0,2
1,1,0,0,0,1,1,0,0,2
0,1,0,0,1,0,1,0,1,2
1,0,1,1,0,0,0,1,0,2
0,1,0,0,0,1,1,0,1,2
0,1,1,1,0,0,0,0,1,2
1,0,1,0,0,1,0,1,0,2
0,1,0,0,0,1,1,0,1,2
0,1,0,1,1,0,0,0,1,2
0,1,0,0,1,0,1,0,1,2
0,0,1,1,1,0,0,0,1,2
1,0,0,0,1,1,0,1,0,2
1,1,0,0,0,1,1,0,0,2
1,0,0,0,0,1,1,1,0,2
0,1,0,1,0,0,1,0,1,2
1,0,1,1,0,0,0,1,0,2
0,1,0,0,0,1,1,0,1,2
1,0,0,0,0,1,1,1,0,2
0,1,0,0,0,1,1,0,1,2
0,1,1,1,0,0,0,0,1,2
0,0,1,1,1,0,0,1,0,2
1,0,0,0,1,1,0,1,0,2
1,0,0,0,0,1,1,1,0,2
0,0,1,1,1,0,0,1,0,2
0,1,1,1,0,0,0,0,1,2
1,0,1,1,0,0,0,1,0,2
0,0,1,1,1,0,0,1,0,2
0,1,0,0,1,0,1,0,1,2
0,1,0,1,1,0,0,0,1,2
0,1,0,0,1,0,1,0,1,2
1,0,1,0,0,1,0,1,0,2
1,0,0,0,1,1,1,0,0,2
0,1,0,0,1,0,1,0,1,2
0,0,1,1,0,0,0,1,1,2
1,0,0,0,1,1,0,1,0,2
1,0,1,1,0,0,0,1,0,2
0,0,1,1,0,0,0,1,1,2
0,1,0,0,1,0,1,0,1,2
0,1,0,1,1,0,0,0,1,2
1,0,0,0,1,1,1,0,0,2
1,0,1,0,0,1,0,1,0,2
1,0,1,1,0,0,0,1,0,2
0,0,1,1,0,0,0,1,1,2
0,1,0,0,1,0,1,0,1,2
1,1,0,0,0,1,1,0,0,2
0,1,0,0,0,1,1,0,1,2
0,1,0,1,1,0,0,0,1,2
0,1,0,0,1,1,1,0,0,2
0,0,1,1,1,0,0,1,0,2
0,0,1,1,1,0,0,0,1,2
0,1,0,1,0,0,1,0,1,2
1,1,0,0,0,1,1,0,0,2
0,0,1,1,1,0,0,1,0,2
0,0,1,1,1,0,0,0,1,2
0,1,0,1,1,0,0,0,1,2
0,0,1,1,0,0,0,1,1,2
1,0,0,0,0,1,1,1,0,2
0,1,0,1,1,0,0,0,1,2
0,0,1,1,0,0,0,1,1,2
1,1,0,0,0,1,1,0,0,2
1,1,0,0,0,1,1,0,0,2
1,0,0,0,1,1,0,1,0,2
1,0,0,0,1,1,0,1,0,2
0,1,1,1,0,0,0,0,1,2
0,0,1,1,1,0,0,0,1,2
0,0,1,1,1,0,0,1,0,2
1,0,0,0,1,1,0,1,0,2
0,1,0,0,1,1,1,0,0,2
1,0,1,1,0,0,0,1,0,2
1,0,0,0,1,1,0,1,0,2
1,0,0,0,1,1,1,0,0,2
0,0,1,1,0,0,0,1,1,2
0,0,1,1,0,0,0,1,1,2
1,0,1,0,0,1,0,1,0,2
1,0,0,0,1,1,0,1,0,2
1,0,1,0,1,0,0,1,0,2
1,0,0,0,0,1,1,1,0,2
0,1,0,1,0,0,1,0,1,2
1,0,0,0,1,1,1,0,0,2
0,0,1,1,1,0,0,0,1,2
1,0,0,0,0,1,1,1,0,2
1,0,0,0,1,1,1,0,0,2
1,0,1,1,0,0,0,1,0,2
1,0,1,0,1,0,0,1,0,2
0,1,1,1,0,0,0,0,1,2
0,0,1,1,1,0,0,1,0,2
0,1,0,0,1,1,1,0,0,2
1,0,0,0,1,1,0,1,0,2
1,1,0,0,0,1,1,0,0,2
1,0,1,0,0,1,0,1,0,2
0,0,1,1,1,0,0,0,1,2
0,0,1,1,1,0,0,1,0,2
1,0,1,1,0,0,0,1,0,2
0,0,1,1,1,0,0,0,1,2
1,0,1,0,1,0,0,1,0,2
0,1,0,0,1,1,1,0,0,2
1,1,0,0,0,1,1,0,0,2
0,1,0,0,1,0,1,0,1,2
0,1,0,0,1,1,1,0,0,2
0,0,1,1,1,0,0,0,1,2
0,1,0,1,0,0,1,0,1,2
1,1,0,0,0,1,1,0,0,2
1,1,0,0,0,1,1,0,0,2
1,0,1,1,0,0,0,1,0,2
1,0,1,1,0,0,0,1,0,2
0,0,1,1,0,0,0,1,1,2
1,0,1,0,1,0,0,1,0,2
0,1,0,0,0,1,1,0,1,2
0,1,0,0,0,1,1,0,1,2
1,0,0,0,1,1,0,1,0,2
0,1,0,0,1,1,1,0,0,2
0,1,0,1,0,0,1,0,1,2
1,0,1,0,0,1,0,1,0,2
1,0,0,0,0,1,1,1,0,2
0,0,1,1,0,0,0,1,1,2
0,0,1,1,0,0,0,1,1,2
0,1,1,1,0,0,0,0,1,2
0,0,1,1,1,0,0,1,0,2
1,0,0,0,1,1,0,1,0,2
0,0,1,1,1,0,0,0,1,2
1,0,0,0,1,1,1,0,0,2
0,1,0,1,0,0,1,0,1,2
1,0,1,0,0,1,0,1,0,2
0,0,1,1,0,0,0,1,1,2
0,1,0,0,0,1,1,0,1,2
1,0,1,0,0,1,0,1,0,2
0,0,1,1,1,0,0,1,0,2
1,0,0,0,0,1,1,1,0,2
0,0,1,1,1,0,0,1,0,2
0,1,0,0,1,1,1,0,0,2
0,1,0,1,0,0,1,0,1,2
0,1,0,1,1,0,0,0,1,2
0,1,0,1,1,0,0,0,1,2
1,0,1,1,0,0,0,1,0,2
0,1,0,0,0,1,1,0,1,2
1,0,0,0,0,1,1,1,0,2
1,0,0,0,0,1,1,1,0,2
0,0,1,1,1,0,0,0,1,2
1,1,0,0,0,1,1,0,0,2
1,0,0,0,0,1,1,1,0,2
1,0,0,0,1,1,1,0,0,2
0,1,0,0,1,1,1,0,0,2
0,1,0,1,1,0,0,0,1,2
1,0,0,0,1,1,0,1,0,2
1,0,1,0,0,1,0,1,0,2
1,0,0,0,1,1,1,0,0,2
0,0,1,1,0,0,0,1,1,2
0,1,0,1,0,0,1,0,1,2
1,0,0,0,1,1,1,0,0,2
0,1,0,0,0,1,1,0,1,2
0,0,1,1,1,0,0,1,0,2
1,0,0,0,1,1,1,0,0,2
0,1,0,0,1,0,1,0,1,2
0,1,0,0,1,0,1,0,1,2
